20	0.1		677900	771100	30500	787400	53100	34900	
20	0.2		938600	470900	24400	1375800	57500	9500	
20	0.3		1327600	700400	25800	1155900	151300	10400	
20	0.4		1575500	621800	24900	1319800	180400	10400	
20	0.5		1259400	671300	23300	1290000	164100	11600	
20	0.6		1208800	543400	47000	1252500	191600	11700	
20	0.7		1566400	618100	25000	1275600	132600	10100	
20	0.8		1855700	830800	28100	1526200	181000	14100	
20	0.9		2219500	635200	30000	1492900	123700	12200	
20	1.0		1955500	653700	39400	1666800	159100	12100	

50	0.1		2066500	752600	35100	2092300	500200	31100	
50	0.2		3035800	1064400	41000	2542100	784800	30500	
50	0.3		2965500	722900	42200	4154200	1313500	31000	
50	0.3		3500800	885300	40900	4492800	1341300	31500	
50	0.4		3097600	1030600	44500	6044500	1362600	28300	
50	0.5		4010300	658500	80300	7813100	1382200	33100	
50	0.6		5490100	936700	75800	11009300	1382800	29700	
50	0.7		6714900	653600	63000	11000100	942200	21900	
50	0.8		6700300	749500	72900	12836700	799500	20900	
50	0.9		7408500	816700	103300	16998100	835600	18900	
50	1.0		8864000	667800	82200	17319600	931500	18700	

10	0.1		543700	473700	28500	592500	79600	8900	
10	0.2		624500	558800	68600	629100	21600	9700	
10	0.3		636600	576400	22000	497400	49400	7300	
10	0.4		704100	544800	27500	663400	91900	8900	
10	0.5		670100	484200	22700	540800	69200	8600	
10	0.6		681800	492700	21600	515100	73300	9000	
10	0.7		674900	424300	81100	586100	16600	8500	
10	0.8		747000	1263200	25200	736900	112200	23200	
10	0.9		858400	570500	22800	840500	135200	15300	
10	1.0		847200	524000	22000	606800	100900	23400	
15	0.8		9860400	1222500	461900	1817300	610300	85800	
